# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.885771543   25.656194796   25.656192517   25.656184954
    2.945891784   22.202455724   22.202454691   22.202449969
    3.006012024   22.778475903   22.778476199   22.778470205
    3.066132265   23.861260980   23.861262215   23.861252537
    3.126252505   20.804413167   20.804414807   20.804405111
    3.186372745   17.981287906   17.981289855   17.981285659
    3.246492986   18.581537311   18.581539925   18.581540490
    3.306613226   22.827775614   22.827779472   22.827785070
    3.366733467   32.434995980   32.435002160   32.435015908
    3.426853707   51.486223704   51.486234207   51.486260492
    3.486973948   79.769867045   79.769882952   79.769908111
    3.547094188  104.127191387  104.127208887  104.127217370
    3.607214429  118.286217569  118.286235252  118.286232652
    3.667334669  107.669919837  107.669939890  107.669914702
    3.727454910   80.665181261   80.665200112   80.665169414
    3.787575150   52.585217776   52.585232416   52.585203870
    3.847695391   33.109299352   33.109310928   33.109293571
    3.907815631   22.741142967   22.741153990   22.741143566
    3.967935872   17.104096624   17.104109344   17.104102736
    4.028056112   14.606808629   14.606826072   14.606821448
    4.088176353   13.012617915   13.012635064   13.012632188
    4.148296593   10.930984993   10.930995483   10.930993781
    4.208416834   10.121856822   10.121862859   10.121861754
    4.268537074   11.195807898   11.195811580   11.195810702
    4.328657315   13.544350588   13.544353098   13.544350156
    4.388777555   15.605511452   15.605513417   15.605510190
    4.448897796   19.104101151   19.104102924   19.104103223
    4.509018036   18.966713289   18.966716068   18.966717073
    4.569138277   13.700456899   13.700460430   13.700459766
    4.629258517    9.225344480    9.225347647    9.225346510
    4.689378758    6.712580261    6.712582829    6.712581881
    4.749498998    5.307648207    5.307650260    5.307649761
    4.809619238    4.392366930    4.392368398    4.392368121
    4.869739479    4.020433711    4.020434839    4.020434590
    4.929859719    4.223182771    4.223183787    4.223183546
    4.989979960    5.090733145    5.090734206    5.090733938
    5.050100200    5.777619471    5.777620559    5.777620229
    5.110220441    5.194423817    5.194425001    5.194424983
    5.170340681    4.991520894    4.991522157    4.991522726
    5.230460922    5.672227163    5.672228073    5.672229014
    5.290581162    6.343158723    6.343160081    6.343158800
    5.350701403    6.236294150    6.236296033    6.236293974
    5.410821643    6.909480805    6.909482850    6.909481798
    5.470941884    7.433031324    7.433033454    7.433033040
    5.531062124    6.407219345    6.407221178    6.407221149
    5.591182365    5.671891146    5.671892918    5.671892951
    5.651302605    5.407999518    5.408001246    5.408000878
    5.711422846    5.124031681    5.124033295    5.124032523
    5.771543086    5.664622723    5.664624454    5.664623737
    5.831663327    7.660181779    7.660184102    7.660183567
    5.891783567   10.202651361   10.202653747   10.202653830
    5.951903808   10.263036535   10.263038009   10.263037870
    6.012024048    9.747098437    9.747099226    9.747099167
    6.072144289    9.905139359    9.905139179    9.905139318
    6.132264529   11.738702112   11.738700849   11.738700587
    6.192384770   14.165811746   14.165810638   14.165808698
    6.252505010   15.702341203   15.702340830   15.702337629
    6.312625251   15.556555163   15.556554376   15.556552011
    6.372745491   13.535628171   13.535626492   13.535626264
    6.432865731   10.065732875   10.065730716   10.065731848
    6.492985972    6.974882657    6.974880441    6.974881869
    6.553106212    5.602772910    5.602769937    5.602771815
    6.613226453    5.790585899    5.790581044    5.790584232
    6.673346693    7.000967924    7.000961551    7.000966068
    6.733466934    7.048358510    7.048354291    7.048357153
    6.793587174    5.427412969    5.427410847    5.427411780
    6.853707415    4.486100889    4.486099843    4.486099846
    6.913827655    4.696698327    4.696697946    4.696697443
    6.973947896    5.326185286    5.326185139    5.326185185
    7.034068136    5.151451693    5.151450874    5.151451472
    7.094188377    4.724502583    4.724500328    4.724501088
    7.154308617    5.081359567    5.081355865    5.081356410
    7.214428858    5.114187075    5.114182950    5.114183418
    7.274549098    4.605183272    4.605178910    4.605179943
    7.334669339    3.964128272    3.964123260    3.964125368
    7.394789579    3.443134515    3.443127825    3.443131301
    7.454909820    3.540703775    3.540693170    3.540699373
    7.515030060    3.889308468    3.889294364    3.889302871
    7.575150301    3.353611261    3.353600411    3.353606029
    7.635270541    2.473595171    2.473589626    2.473590513
    7.695390782    2.099196790    2.099194435    2.099191217
    7.755511022    2.079452196    2.079451229    2.079445286
    7.815631263    2.088944412    2.088943476    2.088937522
    7.875751503    1.786397158    1.786396330    1.786392312
    7.935871743    1.307683830    1.307683292    1.307681091
    7.995991984    1.032845081    1.032844847    1.032843492
    8.056112224    0.890383945    0.890383740    0.890382892
    8.116232465    0.820878235    0.820877787    0.820877419
    8.176352705    0.837711682    0.837710962    0.837710990
    8.236472946    0.965522989    0.965521880    0.965522341
    8.296593186    1.226633921    1.226632262    1.226633270
    8.356713427    1.514762166    1.514760495    1.514761525
    8.416833667    1.795657579    1.795656520    1.795657026
    8.476953908    1.992145820    1.992145339    1.992145324
    8.537074148    2.071569054    2.071568618    2.071568340
    8.597194389    1.860453314    1.860451546    1.860451766
    8.657314629    1.570213124    1.570209161    1.570210692
    8.717434870    1.383123024    1.383118339    1.383120820
